Low Rated Description Bigrams,Mid Rated Description Bigrams,Top Rated Description Bigrams
newly_renovated,fully_equipped,fully_equipped
1_king,music_city.,music_city.
music_city.,stainless_steel,stainless_steel
country_music,1_queen,1_queen
stainless_steel,queen_sleeper,queen_sleeper
"bedroom,_1",walking_track,walking_track
king_bed,walking_distance,walking_distance
minutes_away,newly_renovated,newly_renovated
1_queen,sleeper_sofa,sleeper_sofa
walking_track,"bedroom,_1","bedroom,_1"
living_room,country_music,country_music
,minutes_away,everything_need
,brand_new,fully_stocked
,1_king,downtown_nashville
,music_city,east_nashville
,living_area,"living_room,"
,smart_tv,minutes_away
,king_bed,brand_new
,living_room,1_king
,,music_city
,,living_area
,,queen_bed
,,smart_tv
,,king_bed
,,living_room
